18EEFF00	08	03	A3	01	00	00	00	10	18:14:15.691
18EEFF00	08	03	A3	01	00	00	00	10	18:14:15.691
1CECFF00	20	27	00	06	FF	E3	FE	00	18:14:16.079
1CEBFF00	01	30	11	7D	A0	41	7D	40	18:14:16.139
1CEBFF00	02	1F	7D	10	2C	7D	60	3B	18:14:16.200
1CEBFF00	03	B2	30	43	00	00	D3	09	18:14:16.259
1CEBFF00	04	C0	44	1E	37	96	7D	E1	18:14:16.320
1CEBFF00	05	E0	2E	7B	02	FF	FF	80	18:14:16.380
1CEBFF00	06	E0	FF	FF	FF	FF	FF	FF	18:14:16.440
1CECFF00	20	27	00	06	FF	E3	FE	00	18:14:17.189
1CEBFF00	01	30	11	A3	A0	41	A3	40	18:14:17.249
1CEBFF00	02	1F	B2	10	2C	B2	60	3B	18:14:17.308
1CEBFF00	03	B2	30	43	00	00	D3	09	18:14:17.368
1CEBFF00	04	C0	44	1E	37	96	7D	E1	18:14:17.428
1CEBFF00	05	E0	2E	7B	02	FF	FF	80	18:14:17.489
1CEBFF00	06	E0	FF	FF	FF	FF	FF	FF	18:14:17.549
1CECFF00	20	D6	00	1F	FF	CA	FE	00	18:14:17.559
1CEBFF00	01	57	FF	5B	00	04	06	5B	18:14:17.619
1CEBFF00	02	00	08	06	5B	00	04	06	18:14:17.679
1CEBFF00	03	5B	00	08	06	5B	00	0A	18:14:17.739
1CEBFF00	04	06	5B	00	13	01	66	00	18:14:17.800
1CEBFF00	05	04	01	DF	04	0B	01	51	18:14:17.859
1CEBFF00	06	00	04	01	B9	04	04	01	18:14:17.920
1CEBFF00	07	69	00	03	01	46	0A	03	18:14:17.980
1CEBFF00	08	01	D3	04	02	01	84	06	18:14:18.040
1CEBFF00	09	02	01	6E	00	03	01	5E	18:14:18.100
1CEBFF00	0A	00	04	01	AE	00	03	01	18:14:18.159
1CEBFF00	0B	7F	02	09	03	7F	02	09	18:14:18.219
1CEBFF00	0C	02	7F	02	09	06	84	06	18:14:18.279
1CEBFF00	0D	09	02	84	06	09	02	F8	18:14:18.339
1CEBFF00	0E	13	09	01	84	06	09	02	18:14:18.400
1CEBFF00	0F	84	06	09	02	84	06	09	18:14:18.459
1CEBFF00	10	02	84	06	09	02	FD	13	18:14:18.520
1CEBFF00	11	09	01	84	06	09	02	7F	18:14:18.580
1CEBFF00	12	02	09	03	CF	04	09	0A	18:14:18.639
1CEBFF00	13	CF	04	09	06	84	06	09	18:14:18.700
1CEBFF00	14	02	84	06	09	02	64	00	18:14:18.759
1CEBFF00	15	04	06	AF	00	03	01	9C	18:14:18.819
1CEBFF00	16	01	03	01	9B	01	04	01	18:14:18.879
1CEBFF00	17	84	06	09	02	84	06	09	18:14:18.939
1CEBFF00	18	02	84	06	09	02	9D	00	18:14:19.000
1CEBFF00	19	03	01	D3	04	09	03	FA	18:14:19.059
1CEBFF00	1A	13	09	01	CF	04	02	01	18:14:19.120
1CEBFF00	1B	DF	04	0E	01	A8	00	11	18:14:19.180
1CEBFF00	1C	03	75	02	05	01	F9	13	18:14:19.239
1CEBFF00	1D	09	01	E7	0A	0B	01	BA	18:14:19.300
1CEBFF00	1E	12	1F	01	FD	10	07	01	18:14:19.359
1CEBFF00	1F	12	15	07	01	FF	FF	FF	18:14:19.419
1CECFF00	20	D6	00	1F	FF	CA	FE	00	18:14:19.440
1CEBFF00	01	57	FF	5B	00	04	06	5B	18:14:19.500
1CEBFF00	02	00	08	06	5B	00	04	06	18:14:19.559
1CEBFF00	03	5B	00	08	06	5B	00	0A	18:14:19.619
1CEBFF00	04	06	5B	00	13	01	66	00	18:14:19.679
1CEBFF00	05	04	01	DF	04	0B	01	51	18:14:19.740
1CEBFF00	06	00	04	01	B9	04	04	01	18:14:19.800
1CEBFF00	07	69	00	03	01	46	0A	03	18:14:19.859
1CEBFF00	08	01	D3	04	02	01	84	06	18:14:19.920
1CEBFF00	09	02	01	6E	00	03	01	5E	18:14:19.980
1CEBFF00	0A	00	04	01	AE	00	03	01	18:14:20.040
1CEBFF00	0B	7F	02	09	03	7F	02	09	18:14:20.100
1CEBFF00	0C	02	7F	02	09	06	84	06	18:14:20.159
1CEBFF00	0D	09	02	84	06	09	02	F8	18:14:20.219
1CEBFF00	0E	13	09	01	84	06	09	02	18:14:20.279
1CEBFF00	0F	84	06	09	02	84	06	09	18:14:20.340
1CEBFF00	10	02	84	06	09	02	FD	13	18:14:20.400
1CEBFF00	11	09	01	84	06	09	02	7F	18:14:20.459
1CEBFF00	12	02	09	03	CF	04	09	0A	18:14:20.520
1CEBFF00	13	CF	04	09	06	84	06	09	18:14:20.580
1CEBFF00	14	02	84	06	09	02	64	00	18:14:20.640
1CEBFF00	15	04	06	AF	00	03	01	9C	18:14:20.700
1CEBFF00	16	01	03	01	9B	01	04	01	18:14:20.759
1CEBFF00	17	84	06	09	02	84	06	09	18:14:20.819
1CEBFF00	18	02	84	06	09	02	9D	00	18:14:20.879
1CEBFF00	19	03	01	D3	04	09	03	FA	18:14:20.940
1CEBFF00	1A	13	09	01	CF	04	02	01	18:14:21.000
1CEBFF00	1B	DF	04	0E	01	A8	00	11	18:14:21.059
1CEBFF00	1C	03	75	02	05	01	F9	13	18:14:21.120
1CEBFF00	1D	09	01	E7	0A	0B	01	BA	18:14:21.180
1CEBFF00	1E	12	1F	01	FD	10	07	01	18:14:21.240
1CEBFF00	1F	12	15	07	01	FF	FF	FF	18:14:21.300
1CECFF00	20	27	00	06	FF	E3	FE	00	18:14:22.049
1CEBFF00	01	30	11	A3	A0	41	A3	40	18:14:22.108
1CEBFF00	02	1F	B2	10	2C	B2	60	3B	18:14:22.168
1CEBFF00	03	B2	30	43	00	00	D3	09	18:14:22.228
1CEBFF00	04	C0	44	1E	37	96	7D	E1	18:14:22.289
1CEBFF00	05	E0	2E	7B	02	FF	FF	80	18:14:22.349
1CEBFF00	06	E0	FF	FF	FF	FF	FF	FF	18:14:22.408
1CECFF00	20	D6	00	1F	FF	CA	FE	00	18:14:22.419
1CEBFF00	01	57	FF	5B	00	04	06	5B	18:14:22.479
1CEBFF00	02	00	08	06	5B	00	04	06	18:14:22.540
1CEBFF00	03	5B	00	08	06	5B	00	0A	18:14:22.600
1CEBFF00	04	06	5B	00	13	01	66	00	18:14:22.659
