8	3	A3	1	0	0	0	10
3	51	2	1	0	0	0	0
3	11	2	0	FF	FF	FF	FF
3	7F	11	80	0	0	0	0
3	11	2	0	FF	FF	FF	FF
3	7F	11	80	0	0	0	0
3	11	2	0	FF	FF	FF	FF
3	7F	11	80	0	0	0	0
2	1A	95	0	0	0	0	0
10	0F	5A	50	43	34	5F	5F
30	2	0	68	3F	4C	0	68
21	31	34	33	34	50	31	36
22	31	42	0	0	0	0	0
2	10	81	0	0	0	0	0
2	50	81	43	34	5F	5F	31
2	10	89	0	0	0	0	0
3	7F	10	33	34	5F	5F	31
2	27	1	FF	FF	FF	FF	FF
6	67	1	22	1	7B	0	31
6	27	2	D2	BA	C7	77	0
3	7F	27	35	1	7B	0	31
2	10	81	0	0	0	0	0
2	50	81	35	1	7B	0	31
2	10	89	0	0	0	0	0
3	7F	10	33	1	7B	0	31
2	27	1	FF	FF	FF	FF	FF
6	67	1	32	C5	D4	1	31
6	27	2	38	B9	E1	9	0
3	67	2	34	C5	D4	1	31
2	10	89	38	B9	E1	9	0
2	50	89	34	C5	D4	1	31
5	23	24	0	0	80	0	0
10	81	63	50	43	34	5F	5F
30	12	0	68	3F	4C	0	68
21	31	34	33	34	50	31	36
22	31	42	4	B0	0	50	9
23	C4	9	7E	9	B0	9	E2
24	9	F6	0A	14	0A	46	0A
25	78	0A	AA	0D	66	0E	2E
26	0	0	0	78	0	C8	1
27	90	2	58	3	E8	5	78
28	7	8	6	72	6	72	6
29	D6	6	0E	3	E8	3	52
2A	3	52	3	52	3	52	3
2B	52	6	72	6	72	6	D6
2C	6	0E	3	E8	3	52	3
2D	52	3	52	3	52	3	52
2E	6	72	6	72	6	D6	6
2F	0E	3	E8	3	52	3	52
20	3	52	3	52	3	52	6
21	72	6	72	6	D6	6	0E
22	3	E8	3	52	0	0	0
5	23	24	0	80	80	0	0
10	81	63	3	52	3	52	3
30	12	0	68	3F	4C	0	68
21	52	3	52	6	72	6	72
22	6	D6	6	0E	3	E8	3
23	52	3	52	3	52	3	52
24	3	52	6	72	6	72	6
25	D6	6	0E	3	E8	3	84
26	3	52	3	52	3	52	3
27	52	6	72	6	72	6	D6
28	6	40	5	DC	5	14	3
29	52	3	52	3	52	3	52
2A	6	72	6	72	7	6C	7
2B	6C	7	6C	5	78	4	7E
2C	4	1A	3	B6	3	52	1
2D	2C	1	2C	0	C8	0	C8
2E	0	C8	0	C8	0	C8	0
2F	C8	0	64	0	64	1	2C
20	1	2C	0	C8	0	C8	0
21	C8	0	C8	0	C8	0	C8
22	0	64	0	64	0	0	0
5	23	24	1	0	80	0	0
10	81	63	1	2C	1	2C	0
30	12	0	68	3F	4C	0	68
21	C8	0	C8	0	C8	0	C8
22	0	C8	0	C8	0	64	0
23	64	1	2C	1	2C	0	C8
24	0	C8	0	C8	0	C8	0
25	C8	0	C8	0	64	0	64
26	1	2C	1	2C	0	C8	0
27	C8	0	C8	0	C8	0	C8
